frame,occupancy_pct,D_curv_global_invA,D_curv_local_invA
0.00000000,72.58000000,0.00167605,0.00177709
1.00000000,74.19000000,0.00156529,0.00165938
2.00000000,75.81000000,0.00146056,0.00154729
3.00000000,76.61000000,0.00134786,0.00142607
4.00000000,77.42000000,0.00125040,0.00132095
5.00000000,78.23000000,0.00115399,0.00121598
6.00000000,77.42000000,0.00105555,0.00110076
7.00000000,78.23000000,0.00099314,0.00101753
8.00000000,78.23000000,0.00094591,0.00094212
9.00000000,77.42000000,0.00095774,0.00094108
10.00000000,75.81000000,0.00092357,0.00092593
11.00000000,74.19000000,0.00081510,0.00084432
12.00000000,73.39000000,0.00063431,0.00062980
13.00000000,73.39000000,0.00055577,0.00053395
14.00000000,70.97000000,0.00051126,0.00049048
15.00000000,67.74000000,0.00052632,0.00051034
16.00000000,65.32000000,0.00056074,0.00055507
17.00000000,65.32000000,0.00060689,0.00060504
18.00000000,66.13000000,0.00066043,0.00066131
19.00000000,64.52000000,0.00072228,0.00072967
