component_2 frame 000: 30 subunits, block-fit RMSD 1.743 A, ACTN4 RMSD 0.518 A, occupancy 88.71%, fitted-coord deviation 0.0000 A
component_2 frame 001: 30 subunits, block-fit RMSD 1.661 A, ACTN4 RMSD 0.518 A, occupancy 88.71%, fitted-coord deviation 0.0000 A
component_2 frame 002: 30 subunits, block-fit RMSD 1.595 A, ACTN4 RMSD 0.518 A, occupancy 87.9%, fitted-coord deviation 0.0000 A
component_2 frame 003: 30 subunits, block-fit RMSD 1.552 A, ACTN4 RMSD 0.518 A, occupancy 87.9%, fitted-coord deviation 0.0000 A
component_2 frame 004: 30 subunits, block-fit RMSD 1.538 A, ACTN4 RMSD 0.518 A, occupancy 87.1%, fitted-coord deviation 0.0000 A
component_2 frame 005: 30 subunits, block-fit RMSD 1.546 A, ACTN4 RMSD 0.518 A, occupancy 84.68%, fitted-coord deviation 0.0000 A
component_2 frame 006: 30 subunits, block-fit RMSD 1.578 A, ACTN4 RMSD 0.518 A, occupancy 82.26%, fitted-coord deviation 0.0000 A
component_2 frame 007: 30 subunits, block-fit RMSD 1.63 A, ACTN4 RMSD 0.518 A, occupancy 81.45%, fitted-coord deviation 0.0000 A
component_2 frame 008: 30 subunits, block-fit RMSD 1.66 A, ACTN4 RMSD 0.518 A, occupancy 79.84%, fitted-coord deviation 0.0000 A
component_2 frame 009: 30 subunits, block-fit RMSD 1.618 A, ACTN4 RMSD 0.518 A, occupancy 77.42%, fitted-coord deviation 0.0000 A
component_2 frame 010: 30 subunits, block-fit RMSD 1.555 A, ACTN4 RMSD 0.518 A, occupancy 76.61%, fitted-coord deviation 0.0000 A
component_2 frame 011: 30 subunits, block-fit RMSD 1.503 A, ACTN4 RMSD 0.518 A, occupancy 73.39%, fitted-coord deviation 0.0000 A
component_2 frame 012: 30 subunits, block-fit RMSD 1.512 A, ACTN4 RMSD 0.518 A, occupancy 70.16%, fitted-coord deviation 0.0000 A
component_2 frame 013: 30 subunits, block-fit RMSD 1.534 A, ACTN4 RMSD 0.518 A, occupancy 68.55%, fitted-coord deviation 0.0000 A
component_2 frame 014: 30 subunits, block-fit RMSD 1.585 A, ACTN4 RMSD 0.518 A, occupancy 64.52%, fitted-coord deviation 0.0000 A
component_2 frame 015: 30 subunits, block-fit RMSD 1.637 A, ACTN4 RMSD 0.518 A, occupancy 57.26%, fitted-coord deviation 0.0000 A
component_2 frame 016: 30 subunits, block-fit RMSD 1.698 A, ACTN4 RMSD 0.518 A, occupancy 53.23%, fitted-coord deviation 0.0000 A
component_2 frame 017: 30 subunits, block-fit RMSD 1.77 A, ACTN4 RMSD 0.518 A, occupancy 51.61%, fitted-coord deviation 0.0000 A
component_2 frame 018: 30 subunits, block-fit RMSD 1.829 A, ACTN4 RMSD 0.518 A, occupancy 45.97%, fitted-coord deviation 0.0000 A
component_2 frame 019: 30 subunits, block-fit RMSD 1.895 A, ACTN4 RMSD 0.518 A, occupancy 41.13%, fitted-coord deviation 0.0000 A
