component_1 frame 000: 30 subunits, block-fit RMSD 2.134 A, ACTN4 RMSD 0.518 A, occupancy 72.58%, fitted-coord deviation 0.0000 A
component_1 frame 001: 30 subunits, block-fit RMSD 1.925 A, ACTN4 RMSD 0.518 A, occupancy 74.19%, fitted-coord deviation 0.0000 A
component_1 frame 002: 30 subunits, block-fit RMSD 1.711 A, ACTN4 RMSD 0.518 A, occupancy 75.81%, fitted-coord deviation 0.0000 A
component_1 frame 003: 30 subunits, block-fit RMSD 1.485 A, ACTN4 RMSD 0.518 A, occupancy 76.61%, fitted-coord deviation 0.0000 A
component_1 frame 004: 30 subunits, block-fit RMSD 1.274 A, ACTN4 RMSD 0.518 A, occupancy 77.42%, fitted-coord deviation 0.0000 A
component_1 frame 005: 30 subunits, block-fit RMSD 1.073 A, ACTN4 RMSD 0.518 A, occupancy 78.23%, fitted-coord deviation 0.0000 A
component_1 frame 006: 30 subunits, block-fit RMSD 0.92 A, ACTN4 RMSD 0.518 A, occupancy 77.42%, fitted-coord deviation 0.0000 A
component_1 frame 007: 30 subunits, block-fit RMSD 0.911 A, ACTN4 RMSD 0.518 A, occupancy 78.23%, fitted-coord deviation 0.0000 A
component_1 frame 008: 30 subunits, block-fit RMSD 1.125 A, ACTN4 RMSD 0.518 A, occupancy 78.23%, fitted-coord deviation 0.0000 A
component_1 frame 009: 30 subunits, block-fit RMSD 1.499 A, ACTN4 RMSD 0.518 A, occupancy 77.42%, fitted-coord deviation 0.0000 A
component_1 frame 010: 30 subunits, block-fit RMSD 1.575 A, ACTN4 RMSD 0.518 A, occupancy 75.81%, fitted-coord deviation 0.0000 A
component_1 frame 011: 30 subunits, block-fit RMSD 1.295 A, ACTN4 RMSD 0.518 A, occupancy 74.19%, fitted-coord deviation 0.0000 A
component_1 frame 012: 30 subunits, block-fit RMSD 1.161 A, ACTN4 RMSD 0.518 A, occupancy 73.39%, fitted-coord deviation 0.0000 A
component_1 frame 013: 30 subunits, block-fit RMSD 1.162 A, ACTN4 RMSD 0.518 A, occupancy 73.39%, fitted-coord deviation 0.0000 A
component_1 frame 014: 30 subunits, block-fit RMSD 1.24 A, ACTN4 RMSD 0.518 A, occupancy 70.97%, fitted-coord deviation 0.0000 A
component_1 frame 015: 30 subunits, block-fit RMSD 1.374 A, ACTN4 RMSD 0.518 A, occupancy 67.74%, fitted-coord deviation 0.0000 A
component_1 frame 016: 30 subunits, block-fit RMSD 1.528 A, ACTN4 RMSD 0.518 A, occupancy 65.32%, fitted-coord deviation 0.0000 A
component_1 frame 017: 30 subunits, block-fit RMSD 1.705 A, ACTN4 RMSD 0.518 A, occupancy 65.32%, fitted-coord deviation 0.0000 A
component_1 frame 018: 30 subunits, block-fit RMSD 1.881 A, ACTN4 RMSD 0.518 A, occupancy 66.13%, fitted-coord deviation 0.0000 A
component_1 frame 019: 30 subunits, block-fit RMSD 2.076 A, ACTN4 RMSD 0.518 A, occupancy 64.52%, fitted-coord deviation 0.0000 A
