frame,occupancy_pct,D_curv_global_invA,D_curv_local_invA
0.00000000,88.71000000,0.00073320,0.00079985
1.00000000,88.71000000,0.00066699,0.00078280
2.00000000,87.90000000,0.00069007,0.00079043
3.00000000,87.90000000,0.00070477,0.00078381
4.00000000,87.10000000,0.00074882,0.00080304
5.00000000,84.68000000,0.00078391,0.00081224
6.00000000,82.26000000,0.00082875,0.00084066
7.00000000,81.45000000,0.00086868,0.00086864
8.00000000,79.84000000,0.00090433,0.00089382
9.00000000,77.42000000,0.00093096,0.00091498
10.00000000,76.61000000,0.00096257,0.00094828
11.00000000,73.39000000,0.00096711,0.00095447
12.00000000,70.16000000,0.00099721,0.00098452
13.00000000,68.55000000,0.00102603,0.00101314
14.00000000,64.52000000,0.00105597,0.00104410
15.00000000,57.26000000,0.00109633,0.00108006
16.00000000,53.23000000,0.00111938,0.00110452
17.00000000,51.61000000,0.00115822,0.00114738
18.00000000,45.97000000,0.00118974,0.00117811
19.00000000,41.13000000,0.00121947,0.00121400
